Serial_Number,5000-6900,5000-6909,5000-6906,5000-6941,5000-6900N,5000-6937,5000-6912,5000-6926,5000-6930,5000-6903,5000-6911,5000-6916,5000-6905,5000-6960,5000-6914,Target_luster,Target_L,Target_a,Target_b
GMPC05000181817,0,51.01,10.04,9.33,0,15.96,0,0,0,0,0,0,0,0,0,4.9,30.6,-1.1,3.6
GMPC05000161334,15.4,0,0,0.09,0,0,70.15,0,0,0,4.87,0,0,0,0,56.4,62.4,33.3,51.8
P05000I44C20H94,9.59,0,38.75,0,0,0,0,0,2.73,44.87,0,0,0,0,0,78.2,34,20,8.6
GMPC05000151885,6.57,42.86,19.43,22.57,0,0,0,0,0,0,0,0,0,0,0,31.7,30.8,2.5,3.3
P05000I44C25E59,14.89,57.5,19.23,2.9,0,0,0,0,0,0,0,0,0,0,0,69.5,41.5,14.6,15.7
P05000I44C25L33,3.78,26,26,29.64,0,0,0,0,0,0,0,0,0,0,0,3,28,1.5,1.3
P05000I44C25N29,77.37,5.38,1.54,2.01,0,0,0,0,0,0,0,0,0,0,0,3.9,60.4,4.4,7.3
P05000I44C25L35,85.34,1.29,0.84,0.48,0,0,0,0,0,0,0,0,0,0,0,7.2,73.2,3.5,5.7
GMPC05000160569,0.89,0,0,84.27,0,0,0,0,0,0,0,0,0,0,0,2.8,24.1,-0.5,-0.6
GMPC05000170867,95.57,1.47,0,0,0,0.05,0,0,0,0,0,0,0,0,0,61.7,86.7,1.3,14.4
P05000I55C25O39,10.81,0,0,0,0,39.67,0,0,3.75,0,0,0,0,0,41.62,56.7,41,-26.9,15.7
GMPC05000180990,96.63,0,0,0.03,0,0,0,0.32,0.09,0.02,0,0,0,0,0,58.1,85.2,-2.2,-3.9
P05000I55C25H52,67.92,0,0,0,0,0,0.74,0,4.93,5.09,0,18.33,0,0,0,58.7,59.4,-26.3,7.8
P05000I55C23L45,95.73,0.3,0,0.06,0,0,0,0,0,0,0,0,0,0,0,49,89.1,-0.7,4.8
GMPC05000151803,63.66,7.23,0,10.48,0,0,0,0,13.29,2.16,0,0,0,0,0,36.5,43,-7.5,-5.2
P05000I55C25F29,88.21,2.75,0.84,5.21,0,0,0,0,0,0,0,0,0,0,0,83,56.9,-0.1,1.8
P05000I55C25J48,93.04,1.46,0.16,1.48,0,0,0,0,0,0,0,0,0,0,0,84.2,69.8,-0.5,2.7
GMPC05000191880,93.25,1.28,0,0.94,0,0.08,0,0,0,0,0,0,0,0,0,78.3,73.7,-1.2,3.5
P05000I55C25L68,94.92,0.18,0,0.04,0,0.02,0,0,0,0,0,0,0,0,0,85.9,89.9,-1.1,4.9
GMPC05000080616,14.84,0,0,0,0,0,0,39.84,42.58,0,0,0,0,0,0,83.4,32.1,0.6,-25.2
P05000J86C25E20,32.73,33.03,7.97,1.4,0,14.76,0,0,0,0,0,0,0,0,0,31.9,43.9,-6.2,9.4
P05000J86C25E26,42.24,0,0,0,0,0,0,0,50.51,0,0,0.56,0,0,0,59.2,46.2,-22.6,-32.8
P05000J86C25H23,89.14,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,45,87.8,0.6,10.3
P05000J86C25P95,92.84,0.35,0,0.16,0,0,0,0.13,0,0,0,0,0,0,0,41.5,81.4,-0.7,1.4
P05000J86C21R27,16.09,19.55,19.12,30.65,0,0,0,0,0,0,0,0,0,0,0,2.1,29.2,1.4,1
GMPC05000180960,0,0,0,0.05,95.55,0,1.37,0,0,0,0.03,0,0,0,0,87.8,83.8,2,16.9
GMPC05000191877,7.4,0,0,0,0,0,88.53,0,0,0,1.07,0,0,0,0,81.1,73.5,26.7,73.4
GMPC05000181070,0,0,0,0,2.64,0,0,0,0,60.71,33.06,0,0,0,0,84,41.5,50.2,23.3
GMPC05000190037,0,1.07,0,7.61,83.44,0,0,0,1.97,2.91,0,0,0,0,0,79.5,50.1,-1.2,-2.9
GMPC05000190603,90.22,6.49,0.07,0.29,0,0,0,0,0,0,0,0,0,0,0,80.4,79.3,4.3,17
GMPC05000190494,86.41,9.43,0,0.9,0,0.26,0,0,0,0,0,0,0,0,0,79.7,70.9,0.8,14
P05000J86C23G94,73.12,20.88,2.48,0.52,0,0,0,0,0,0,0,0,0,0,0,83.5,66.9,11.9,22.2
P05000K04C25H54,3.25,78.15,8.54,1.12,0,0,0,0,0,0,0,0,0,0,0,31,44,16.4,22.4
P05000K27C24G29,46.56,9.24,3.03,34.54,0,0,0,0,0,0,0,0,0,0,0,65.2,34.2,-0.5,-0.4
P05000K58C25P91,10.02,19.13,24.37,35.54,0,0,0,0,0,0,0,0,0,0,0,23.2,28.5,1.2,1.2
P05000K58C25R23,0,0,0.92,5.3,82.98,0,0,0.65,0.23,0,0,0,0,0,0,26,51.5,-0.9,-3.2
P05000K89C25A58,94.57,0.79,0,0.02,0,0,0,0,0,0,0,0.56,0,0,0,84.2,87.2,-1.7,12.1
P05000K89C25A82,6.82,0,29.56,0.82,0,0,0,52.2,0,7.05,0,0,0,0,0,82.7,30.9,9,2
P05000K89C25G86,8.97,35.74,17.66,25.69,0,0,0,0,0,0,0,0,0,0,0,10.6,30,1.6,2
P05000K89C25J61,81.2,1.63,0.33,2.44,0,0,0,0,0,0,0,0,0,0,0,4.8,62,-1,1.2
P05000K89C25K72,2.31,0,3.8,90.89,0,0,0,0,0,0,0,0,0,0,0,82.3,26.6,-0.5,-0.5
P05000K89C25B91,84.34,1.32,0.02,1.86,0,0,0,0,0,0,0,0,0,0,0,8.5,64.8,-0.7,2
GMPC05000161211,11.98,0,18.06,58.95,0,0,0,0,0,0,0,0,0,0,0,30.8,27.2,0.2,-0.2
GMPC05000050285,97.53,0,0,0,0,0,0.45,0,1.94,0,0,0,0,0,0,79.6,75.9,-15.5,-3.4
P05000L01C25E08,90.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.9,86.5,-1.3,0.8
P05000L01C25E89,0,0.9,0,85.26,0,0,0,0,0,0,0,0,0,0,0,4.1,25.2,-0.5,-0.9
P05000L01C25F12,5.57,30.73,21.46,31.1,0,0,0,0,0,0,0,0,0,0,0,24.1,29.1,1.2,0.7
P05000L01C25F30,27.02,0,0,0,0,0,0,0,69.98,0,0,0,0,0,0,85.1,40.3,-14.5,-32.2
P05000L01C25F96,38.1,34.15,4.09,0,0,16.23,0,0,0,0,0,0,0,0,0,42,49.9,-9.6,14.3
P05000L01C25F98,7.93,45.73,17.9,19.6,0,0,0,0,0,0,0,0,0,0,0,33.6,31.7,2.7,4
P05000L01C25H63,82.02,2.62,0.2,6.1,0,0,0,0,0,0,0,0,0,0,0,40.4,56,-1.2,0.5
P05000L01C25J72,68.7,19.15,1.47,1.1,0,0,0,0,0,0,0,0,0,0,0,39.5,64.6,8.8,20.1
P05000L01C25N49,3.9,50.06,14.18,22.7,0,0,0,0,0,0,0,0,0,0,0,42.1,30.7,1.9,3.2
P05000L01C25F55,10.12,30.46,19.46,31.56,0,0,0,0,0,0,0,0,0,0,0,29.5,29.7,1.3,1.8
P05000L01C25F45,56.53,14.48,9.63,7.96,0,0,0,0,0,0,0,0,0,0,0,30.6,46.1,5.4,6.6
P05000L01C24U63,37.67,32.65,11.28,9.17,0,0,0,0,0,0,0,0,0,0,0,28.6,39.3,5.4,6.3
P05000L01C23H64,19.67,31.23,20.74,17.5,0,0,0,0,0,0,0,0,0,0,0,36.3,33.4,3.4,4
GMPC05000180754,12.35,20.93,24.46,30.64,0,0,0,0,0,0,0,0,0,0,0,21.6,29.9,1.6,1.3
P05000L01C25D72,26.41,4.83,12.88,47.41,0,0,0,0,0,0,0,0,0,0,0,32.5,29.6,0,-0.6
P05000L01C25E05,10.99,73.18,6.22,1.39,0,0,0,0,0,0,0.39,0,0,0,0,36.4,46.6,14.8,22.9
P05000L18C25C48,13.75,0,19.03,53.96,0,0,0,0.6,0,1.9,0,0,0,0,0,25.1,27.9,0.5,-0.3
P05000L18C25D60,15.14,53.75,19.33,3.93,0,0,0,0,0,0,0,0,0,0,0,35.3,40.3,12,13
P05000L18C25D61,0,77.4,14.69,1.31,0,0,0,0,0,0,0,0,0,0,0,27.1,41.2,16.8,19.9
P05000L48C25E57,90.86,0.37,0,0.01,0,0,0,0,0,0,0,0,0,0,0,49.7,88.3,-0.8,4.9
P05000L48C25J31,97.37,0.41,0,0.1,0,0.04,0,0,0,0,0,0,0,0,0,80.3,86.7,-1.3,4.6
P05000L58C25C54,90.01,0,0,0.08,0,0.03,0,0,0,0,0,0,0,0,0,44.3,85.9,-1.9,1.3
